rank,market,symbol,n_days_total,start_date,end_date,min_close_all,median_close_all,mean_close_all,max_close_all,penny_days_total,penny_day_ratio_total,one_tick_pct_max,one_tick_pct_median
1,AU,ROG.AX,1519,2020-01-02,2025-12-31,0.0008329999982379,0.0049999998882412,0.0049690605991,0.0140000004321336,1519,1.0,1.200480194616286,0.2000000044703521
2,AU,XRG.AX,1519,2020-01-02,2025-12-31,0.0009899999713525,0.0340000018477439,0.0338133883833733,0.086216002702713,1519,1.0,1.0101010393301713,0.029411763107488
3,AU,1TT.AX,1202,2020-01-03,2025-12-30,0.0010000000474974,0.4000000059604645,0.5465004240289933,3.5999999046325684,1033,0.8594009983361065,0.9999999525026024,0.0124999998137354
4,AU,WEL.AX,1519,2020-01-02,2025-12-31,0.0010000000474974,0.0099999997764825,0.0114776169251401,0.0590000003576278,1519,1.0,0.9999999525026024,0.100000002235175
5,AU,FAU.AX,1519,2020-01-02,2025-12-31,0.0010000000474974,0.0070000002160668,0.0081655694895415,0.0309999994933605,1519,1.0,0.9999999525026024,0.1428571384476164
6,AU,CT1.AX,1519,2020-01-02,2025-12-31,0.0010000000474974,0.0040000001899898,0.0095924951230838,0.0450000017881393,1519,1.0,0.9999999525026024,0.249999988125638
7,AU,ERA.AX,1519,2020-01-02,2025-12-31,0.0010000000474974,0.0423640012741088,0.0434965069344882,0.1245269998908042,1519,1.0,0.9999999525026024,0.0243421532361039
8,AU,ICU.AX,1519,2020-01-02,2025-12-31,0.0010000000474974,0.0260000005364418,0.0283969716735918,0.1000000014901161,1519,1.0,0.9999999525026024,0.0384615376679855
9,AU,IS3.AX,1519,2020-01-02,2025-12-31,0.0010000000474974,0.0219999998807907,0.0302710540172992,0.25,1519,1.0,0.9999999525026024,0.0476190482610478
10,AU,JAY.AX,1519,2020-01-02,2025-12-31,0.0010000000474974,0.129489004611969,0.1098651523279409,0.369284987449646,1519,1.0,0.9999999525026024,0.0359502732502725
1,CA,MON.V,1506,2020-01-02,2025-12-31,0.004615387879312,0.0784615948796272,0.1057783773244366,0.550000011920929,1506,1.0,2.1666651344351724,0.1274508887480763
2,CA,ACU.V,1506,2020-01-02,2025-12-31,0.0049999998882412,0.0549999997019767,0.0988718459059844,0.7400000095367432,1506,1.0,2.000000044703521,0.1818181828033828
3,CA,SML.V,1506,2020-01-02,2025-12-31,0.0049999998882412,0.0149999996647238,0.0285159361203649,0.135000005364418,1506,1.0,2.000000044703521,0.6666666815678315
4,CA,CHS.V,1506,2020-01-02,2025-12-31,0.0049999998882412,0.1400000005960464,0.1687493740326191,0.7699999809265137,1506,1.0,2.000000044703521,0.0714285711244661
5,CA,FG.V,1506,2020-01-02,2025-12-31,0.0049999998882412,0.0599999986588954,0.0659667994310042,0.25,1506,1.0,2.000000044703521,0.1666666703919573
6,CA,REC.V,1506,2020-01-02,2025-12-31,0.0049999998882412,0.0399999991059303,0.0419920314917189,0.1949999928474426,1506,1.0,2.000000044703521,0.2500000055879357
7,CA,VTT.V,1506,2020-01-02,2025-12-31,0.0049999998882412,0.0450000017881393,0.0388100929001709,0.0949999988079071,1506,1.0,2.000000044703521,0.222222213391905
8,CA,NNX.V,1506,2020-01-02,2025-12-31,0.0049999998882412,0.025000000372529,0.0263977422320826,0.0700000002980232,1506,1.0,2.000000044703521,0.3999999940395361
9,CA,WMK.V,1506,2020-01-02,2025-12-31,0.0049999998882412,0.0649999976158142,0.0881972110757274,0.3100000023841858,1506,1.0,2.000000044703521,0.1538461594891974
10,CA,JNH.V,1506,2020-01-02,2025-12-31,0.0049999998882412,0.1000000014901161,0.2241899065474223,2.5,1446,0.9601593625498008,2.000000044703521,0.0999999985098839
1,CN,601777.SS,1455,2020-01-02,2025-12-31,0.6571999788284302,4.489999771118164,4.925676969891971,13.15999984741211,829,0.5697594501718213,0.015216068658168,0.0022271716057369
2,CN,600595.SS,1455,2020-01-02,2025-12-31,0.6899999976158142,3.140000104904175,3.0232439877650994,8.109999656677246,1357,0.9326460481099657,0.0144927536732658,0.0031847132693981
3,CN,000908.SZ,1455,2020-01-02,2025-12-31,0.7200000286102295,3.900000095367432,4.108996562367862,9.229999542236328,1093,0.7512027491408935,0.013888888336994,0.002564102501402
4,CN,002256.SZ,1455,2020-01-02,2025-12-31,0.7300000190734863,2.4100000858306885,2.4494570438394843,6.460000038146973,1435,0.986254295532646,0.0136986297790676,0.0041493774455834
5,CN,002021.SZ,1455,2020-01-02,2025-12-31,0.770317018032074,1.2268019914627075,1.5302437166577765,3.4100000858306885,1455,1.0,0.0129816682819067,0.008151274671536
6,CN,002141.SZ,1455,2020-01-02,2025-12-31,0.7799999713897705,3.319999933242798,3.494728523021711,9.31999969482422,1244,0.8549828178694158,0.0128205132907664,0.0030120482533361
7,CN,000793.SZ,1455,2020-01-02,2025-12-31,0.7799999713897705,2.5199999809265137,2.5151477689595567,5.050000190734863,1454,0.9993127147766324,0.0128205132907664,0.003968253998289
8,CN,002323.SZ,1455,2020-01-02,2025-12-31,0.7911390066146851,1.7100000381469729,2.0044972890840773,4.980000019073486,1455,1.0,0.0126400037368785,0.0058479530859171
9,CN,002052.SZ,1455,2020-01-02,2025-12-31,0.800000011920929,2.0199999809265137,3.4895395165866185,20.25,1203,0.8268041237113402,0.0124999998137354,0.0049504950962491
10,CN,002310.SZ,1455,2020-01-02,2025-12-31,0.8100000023841858,2.380000114440918,2.7989621993602345,6.429999828338623,1334,0.9168384879725086,0.0123456789760069,0.0042016804702335
1,FR,ALIBR.PA,1538,2020-01-02,2025-12-31,9.999999747378752e-05,0.1663499996066093,2579.5492935784014,167146.96875,1101,0.7158647594278283,100.00000252621255,0.0601142660342546
2,FR,ALSRS.PA,1538,2020-01-02,2025-12-31,0.0003000000142492,0.426499992609024,0.4776210014073884,2.2300000190734863,1394,0.906371911573472,33.333331750088966,0.0234466914809019
3,FR,MLSML.PA,1538,2020-01-02,2025-12-31,0.0005000000237487,0.0185000002384185,0.0220292588205848,0.0659999996423721,1538,1.0,19.999999050052047,0.5405405335743317
4,FR,MLGEQ.PA,1538,2020-01-02,2025-12-31,0.0010000000474974,0.0305000003427267,0.0602922624789852,0.550000011920929,1538,1.0,9.999999525026023,0.3278688487747735
5,FR,MLALE.PA,1295,2020-12-11,2025-12-31,0.0010000000474974,1.950000047683716,1.4865498400244748,3.039999961853028,563,0.4347490347490347,9.999999525026023,0.0051282050028041
6,FR,ALNEV.PA,1538,2020-01-02,2025-12-31,0.0020000000949949,524000.0,8501945.490187883,296000000.0,108,0.0702210663198959,4.999999762512761,9.542540792540793e-07
7,FR,ALSAF.PA,1538,2020-01-02,2025-12-31,0.0020000000949949,9989.451171875,2189840.76992089,29000000.0,243,0.1579973992197659,4.999999762512761,5.0052799989888815e-05
8,FR,ALNRG.PA,1397,2020-07-22,2025-12-31,0.0024000001139938,0.1674000024795532,1.5993870497614868,7.5,934,0.6685755189692197,4.1666664687607735,0.0597371556265146
9,FR,ALTHO.PA,1043,2021-12-06,2025-12-31,0.002600000007078,0.9419999718666076,2.4144480417644174,14.100000381469728,535,0.5129434324065196,3.846153835683432,0.0106157115696984
10,FR,MLSEQ.PA,1538,2020-01-02,2025-12-31,0.003000000026077,0.0109999999403953,0.0109255526942092,0.0355000011622905,1538,1.0,3.3333333043588893,0.9090909140169174
1,HK,0444.HK,1476,2020-01-02,2025-12-31,0.0099999997764825,0.0410000011324882,0.0437418700714511,0.1500000059604644,1476,1.0,0.100000002235175,0.0243902432287399
2,HK,1862.HK,1476,2020-01-02,2025-12-31,0.0099999997764825,0.5899999737739563,0.8814186782653123,2.640000104904175,884,0.5989159891598916,0.100000002235175,0.0151515152336152
3,HK,1616.HK,1476,2020-01-02,2025-12-31,0.0099999997764825,0.1519999951124191,0.1965826553075516,1.2799999713897705,1408,0.9539295392953928,0.100000002235175,0.0073529407768719
4,HK,8417.HK,1476,2020-01-02,2025-12-31,0.0099999997764825,0.0199999995529651,0.0218997290559859,0.0590000003576278,1476,1.0,0.100000002235175,0.0500000011175872
5,HK,1217.HK,1476,2020-01-02,2025-12-31,0.0099999997764825,0.0099999997764825,0.0105128724665599,0.0189999993890523,1476,1.0,0.100000002235175,0.100000002235175
6,HK,2358.HK,1476,2020-01-02,2025-12-31,0.0099999997764825,0.0790000036358833,0.0624153116638431,0.1379999965429306,1476,1.0,0.100000002235175,0.012658227265521
7,HK,8071.HK,1476,2020-01-02,2025-12-31,0.0099999997764825,0.0289999991655349,0.0297012196085226,0.0719999969005584,1476,1.0,0.100000002235175,0.0344827596129192
8,HK,1188.HK,1476,2020-01-02,2025-12-31,0.0099999997764825,0.0219999998807907,0.0252913276533669,0.0799999982118606,1476,1.0,0.100000002235175,0.0454545457008456
9,HK,8059.HK,1476,2020-01-02,2025-12-31,0.0099999997764825,0.0230000000447034,0.0373421410157983,0.25,1476,1.0,0.100000002235175,0.0434782607850597
10,HK,8130.HK,1476,2020-01-02,2025-12-31,0.0099999997764825,0.0240000002086162,0.0418167053917447,0.1673714220523834,1476,1.0,0.100000002235175,0.0416666663044857
1,JP,6574.T,1465,2020-01-06,2025-12-30,4.599999904632568,7.159999847412109,22.29469622296278,318.5,1362,0.9296928327645052,0.2173913088547936,0.1396648074456925
2,JP,8918.T,1465,2020-01-06,2025-12-30,6.0,9.0,9.046361560626242,14.310335159301758,1465,1.0,0.1666666666666666,0.1111111111111111
3,JP,2134.T,1465,2020-01-06,2025-12-30,9.0,26.0,35.124232081911266,122.0,1432,0.9774744027303754,0.1111111111111111,0.0384615384615384
4,JP,3777.T,1465,2020-01-06,2025-12-30,11.0,29.0,31.230034129692832,81.0,1465,1.0,0.0909090909090909,0.0344827586206896
5,JP,3350.T,1465,2020-01-06,2025-12-30,14.0,58.0,167.28894199722862,1895.0,1090,0.7440273037542662,0.0714285714285714,0.0172413793103448
6,JP,6740.T,1465,2020-01-06,2025-12-30,14.0,39.0,37.44027303754266,80.0,1465,1.0,0.0714285714285714,0.0256410256410256
7,JP,1773.T,1465,2020-01-06,2025-12-30,14.943300247192385,19.95962142944336,42.80554767517506,143.83168029785156,1382,0.9433447098976108,0.0669196217340198,0.0501011506423089
8,JP,4564.T,1465,2020-01-06,2025-12-30,15.0,57.0,62.13174061433447,200.0,1171,0.7993174061433447,0.0666666666666666,0.0175438596491228
9,JP,8107.T,1465,2020-01-06,2025-12-30,16.0,22.0,25.791808873720136,65.0,1465,1.0,0.0625,0.0454545454545454
10,JP,8836.T,1465,2020-01-06,2025-12-30,16.0,22.0,24.2901023890785,51.0,1465,1.0,0.0625,0.0454545454545454
1,KR,152550.KS,1447,2020-01-02,2025-12-30,2.965373039245605,4.796932220458984,169.72372014257277,787.8794555664062,1447,1.0,0.3372257003639587,0.208466568640471
2,KR,004410.KS,1470,2020-01-02,2025-12-30,107.0,189.5,219.90952380952385,493.0,1470,1.0,0.0093457943925233,0.005277081592871
3,KR,148780.KQ,1464,2020-01-02,2025-12-30,142.60000610351562,1287.5,1421.0193989133577,3500.0,338,0.2308743169398907,0.0070126224207457,0.0031446540880503
4,KR,038880.KQ,1469,2020-01-02,2025-12-30,143.0,518.0,620.8536419332879,1915.0,1152,0.7842069434989789,0.0069930069930069,0.0026455026455026
5,KR,293580.KQ,1457,2020-01-02,2025-12-30,143.43063354492188,935.1260986328124,887.3942421813001,2150.034423828125,844,0.5792724776938916,0.0069720113150501,0.0029995866048246
6,KR,065150.KQ,1470,2020-01-02,2025-12-30,145.0,420.0,584.691156462585,1670.0,1187,0.8074829931972789,0.0068965517241379,0.0038022813688212
7,KR,089230.KQ,1453,2020-01-02,2025-12-30,152.0,778.0,829.2339986235376,2305.0,989,0.6806607019958706,0.006578947368421,0.0025853154084798
8,KR,043220.KQ,1470,2020-01-02,2025-12-30,171.0,995.5,1028.309523809524,2715.0,740,0.5034013605442177,0.0058479532163742,0.0029239766081871
9,KR,065420.KQ,894,2022-05-03,2025-12-30,180.0,290.5,383.8758389261745,1375.0,891,0.9966442953020134,0.0055555555555555,0.0034482758620689
10,KR,027040.KQ,1470,2020-01-02,2025-12-30,180.0,606.5,583.0727891156463,1160.0,1412,0.9605442176870748,0.0055555555555555,0.0016863406408094
1,TH,TFI.BK,1453,2020-01-02,2025-12-30,0.0082139996811747,0.0900000035762786,0.1225686065060408,0.3400000035762787,1453,1.0,1.2174336971206068,0.1111111066959525
2,TH,AKS.BK,1453,2020-01-02,2025-12-30,0.0099999997764825,0.2299990057945251,0.357961097886018,1.5356919765472412,1422,0.9786648313833448,1.0000000223517505,0.043478448810921
3,TH,MORE.BK,1453,2020-01-02,2025-12-30,0.0199999995529651,0.270000010728836,0.6575498966114302,2.940000057220459,1047,0.7205781142463867,0.5000000111758727,0.0370370355653174
4,TH,GEL.BK,1453,2020-01-02,2025-12-30,0.0199999995529651,0.2000000029802322,0.1995116416800764,0.5392590165138245,1453,1.0,0.5000000111758727,0.0499999992549419
5,TH,NATION.BK,1453,2020-01-02,2025-12-30,0.0199999995529651,0.0895690023899078,0.0844610609839742,0.205483004450798,1453,1.0,0.5000000111758727,0.1116457673210252
6,TH,KKC.BK,1453,2020-01-02,2025-12-30,0.0199999995529651,0.3300000131130218,0.4430695112233152,1.6799999475479126,1261,0.8678596008258775,0.5000000111758727,0.0303030290988961
7,TH,SDC.BK,1432,2020-01-02,2025-12-30,0.0199999995529651,0.1400000005960464,0.1883240218310715,0.8700000047683716,1432,1.0,0.5000000111758727,0.0714285711244661
8,TH,KC.BK,1453,2020-01-02,2025-12-30,0.0199999995529651,0.1133299991488456,0.1203849914817668,0.6299999952316284,1453,1.0,0.5000000111758727,0.0882378900123892
9,TH,TWZ.BK,1453,2020-01-02,2025-12-30,0.0199999995529651,0.0575000010430812,0.0613084122800079,0.1533329933881759,1453,1.0,0.5000000111758727,0.1739130403233839
10,TH,STOWER.BK,1453,2020-01-02,2025-12-30,0.0199999995529651,0.1992850005626678,0.2867912812311015,1.151427984237671,1443,0.9931176875430144,0.5000000111758727,0.0501793911823051
1,TW,5314.TWO,1457,2020-01-02,2025-12-31,0.6264064908027649,1.2528139352798462,15.637918890463464,143.6826629638672,1212,0.8318462594371997,0.0159640746812578,0.007982031264496
2,TW,911608.TW,1457,2020-01-02,2025-12-31,0.814061164855957,3.059999942779541,3.3840936310256926,22.82115364074707,1457,1.0,0.0122840892450255,0.0032933992467974
3,TW,911868.TW,1457,2020-01-02,2025-12-31,0.8399999737739563,1.2699999809265137,1.375442689219483,4.730000019073486,1457,1.0,0.0119047622764462,0.0078740158662873
4,TW,9105.TW,1457,2020-01-02,2025-12-31,1.1160253286361694,2.609628438949585,3.485014744220569,9.56021499633789,1457,1.0,0.0089603701129439,0.0038319631449238
5,TW,9110.TW,1457,2020-01-02,2025-12-31,1.2200000286102295,3.3299999237060547,4.556410427607325,9.239999771118164,1457,1.0,0.008196721119254,0.003003003071805
6,TW,9103.TW,1457,2020-01-02,2025-12-31,1.2462390661239624,7.124022960662842,11.264921287681933,66.49708557128906,1386,0.9512697323266986,0.008024142615832,0.0016638934474484
7,TW,912000.TW,1457,2020-01-02,2025-12-31,1.3338667154312134,2.4604432582855225,2.5905974105194813,12.031838417053224,1457,1.0,0.0074970009254389,0.0040643083177492
8,TW,1471.TW,1457,2020-01-02,2025-12-31,1.4600000381469729,9.050000190734863,9.788442006075146,23.64999961853028,1457,1.0,0.0068493148895338,0.0024271845334391
9,TW,4738.TWO,1457,2020-01-02,2025-12-31,1.4700000286102295,6.25,5.996149627574929,13.600000381469728,1457,1.0,0.0068027209560357,0.0016103059482402
10,TW,8101.TW,1457,2020-01-02,2025-12-31,1.899999976158142,8.0,9.579206587929551,32.25,1456,0.9993136582017844,0.0052631579607807,0.0022727272234672
1,UK,87FZ.L,1515,2020-01-02,2025-12-31,-4.230928971082904e-05,0.0007359342998825,0.5304268339070668,63.0,1506,0.994059405940594,449.02071140790497,3.254960780644873
2,UK,SYME.L,1456,2020-03-23,2025-12-31,2.999999924213625e-05,0.0799999982118606,0.1454852482930159,1.093500018119812,1449,0.9951923076923076,83.33333543851047,0.0312500006984919
3,UK,BCE.L,1515,2020-01-02,2025-12-31,3.9999998989515007e-05,0.1749999970197677,0.8971160566259881,5.300000190734863,997,0.6580858085808581,62.500001578882845,0.0142857145289985
4,UK,KIBO.L,1515,2020-01-02,2025-12-31,7.000000186963007e-05,0.1199999973177909,0.3821552404938137,7.0,1406,0.928052805280528,35.71428476039285,0.0208333337989946
5,UK,UKOG.L,1515,2020-01-02,2025-12-31,9.999999747378752e-05,0.6499999761581421,1.036076897668996,8.5,872,0.5755775577557756,25.00000063155314,0.0042372883239445
6,UK,TRAF.L,1515,2020-01-02,2025-12-31,0.0001800000027287,0.1749999970197677,0.4751123821330387,2.400000095367432,1240,0.8184818481848185,13.888888678341052,0.0142857145289985
7,UK,TRC.L,1515,2020-01-02,2025-12-31,0.0002500000118743,8.050000190734863,12.353474623926552,77.95960235595703,341,0.225082508250825,9.999999525028024,0.0024251949243574
8,UK,ADME.L,1515,2020-01-02,2025-12-31,0.0005499999970197,0.675000011920929,1.499211553422728,6.5,1021,0.6739273927392739,4.545454570085124,0.0037037036382939
9,UK,WCAT.L,1260,2021-01-05,2025-12-31,0.0005499999970197,0.4079999923706054,0.8984665105651531,4.150000095367432,750,0.5952380952380952,4.545454570085124,0.0061275983369803
10,UK,DISH.L,1515,2020-01-02,2025-12-31,0.0006500000017695,0.0042500002309679,0.0103289637491782,0.1299999952316284,1515,1.0,3.846153835683432,0.5882352621497734
1,US,PPCB,1508,2020-01-02,2025-12-31,0.0003999999898951,4.5350000858306885,12659.657748411371,1500000.0,510,0.3381962864721485,25.00000063155627,0.002205202973734
2,US,TII,1251,2021-01-08,2025-12-31,0.0013002402847632,0.550416111946106,0.6463743636653916,3.240000009536743,1134,0.9064748201438848,7.690886151724796,0.0181680728142986
3,US,LIDRW,1251,2021-01-08,2025-12-31,0.003000000026077,0.0790000036358833,0.4202781772556648,3.2699999809265137,999,0.7985611510791367,3.3333333043588893,0.1265822726552105
4,US,RNWWW,1236,2021-02-01,2025-12-31,0.0049999998882412,0.7865000069141388,0.8644029124908174,3.1600000858306885,769,0.622168284789644,2.000000044703521,0.0127146043036009
5,US,MYPSW,1264,2020-12-18,2025-12-31,0.0080000003799796,0.4300000071525574,0.5466289572341109,2.880000114440918,1071,0.8473101265822784,1.2499999406281903,0.0232558135666545
6,US,TLSIW,1230,2021-02-09,2025-12-31,0.0109999999403953,0.9300000071525574,0.8165869908467904,3.015000104904175,683,0.5552845528455285,0.9090909140169174,0.0107526880893449
7,US,APLMW,692,2023-03-30,2025-12-31,0.0130000002682209,0.0260000005364418,0.036705737341346,0.1254000067710876,692,1.0,0.7692307533597104,0.3846153766798552
8,US,CCGWW,575,2023-09-18,2025-12-31,0.0149999996647238,0.0309999994933605,0.0482608697288061,0.550000011920929,575,1.0,0.6666666815678315,0.3225806504332935
9,US,MNYWW,1273,2020-12-07,2025-12-31,0.0179999992251396,0.1700000017881393,0.6128515303427556,5.900000095367432,1017,0.7989002356637863,0.555555579471001,0.0588235287930314
10,US,BBLGW,1059,2021-10-13,2025-12-31,0.0179999992251396,4.0,14.00789803661392,95.0,426,0.4022662889518413,0.555555579471001,0.0025
